placekey,location_name,top_category,naics_code,poi_cbg
222-223@8dy-qsc-9j9,Fleury of Wings,Restaurants and Other Eating Places,722511.0,220710025044.0
223-222@8dy-qv2-92k,John Dibert Community School,Elementary and Secondary Schools,611110.0,220710044012.0
223-222@8dy-qv5-zxq,Wasabi Sushi and Bar,Restaurants and Other Eating Places,722513.0,220710026001.0
223-224@8dy-qtz-ty9,Phillips Stephanie A DDS,Offices of Dentists,621210.0,220710134003.0
225-222@8dy-rfh-p9z,Ice Cream 504,Restaurants and Other Eating Places,722515.0,220710111001.0
226-222@8dy-r9d-vfz,Whole Foods Market,Grocery Stores,445110.0,220710114001.0
226-222@8dy-rbb-4jv,To The Glory Of God Ministry,Religious Organizations,813110.0,220710006182.0
226-222@8dy-rfj-rzf,French Truck Coffee,Restaurants and Other Eating Places,722515.0,220710109002.0
22b-222@8dy-qtz-nt9,SpringHill Suites by Marriott,Traveler Accommodation,721110.0,220710077001.0
22d-222@8dy-rfc-8qf,IBERIA BANK,Depository Credit Intermediation,522110.0,220510248002.0
22d-223@8dy-qv3-jjv,FreeWheelin' Bike Tours & Rentals,Consumer Goods Rental,532284.0,220710135001.0
22h-222@8dy-qv2-wff,Mickey's Playhouse,Drinking Places (Alcoholic Beverages),722410.0,220710035001.0
22h-222@8dy-r9d-vpv,Pied Nu,"Jewelry, Luggage, and Leather Goods Stores",448310.0,220710116001.0
22j-222@8dy-rf7-2tv,Fish In the Land of Giants,Other Amusement and Recreation Industries,713940.0,220710128003.0
22k-222@8dy-rbc-xbk,The Southern Fly,Other Amusement and Recreation Industries,713940.0,220710006181.0
22s-222@8dy-rf6-n89,Captain's Vinyl,"Sporting Goods, Hobby, and Musical Instrument Stores",451120.0,220710132003.0
22t-222@8dy-qtz-yn5,Love Outreach Christian Church,Religious Organizations,813110.0,220710002002.0
22v-222@8dy-rfc-8gk,Mirabella,Clothing Stores,4481.0,220510224002.0
22x-222@8dy-qtz-68v,ServiceMaster,Services to Buildings and Dwellings,561720.0,220710001001.0
233-222@8dy-qv4-3kf,Bon Castor,"Office Supplies, Stationery, and Gift Stores",453220.0,220710013012.0
zzw-222@8dy-qv6-z4v,The UPS Store,Couriers and Express Delivery Services,492110.0,220710077001.0
zzw-222@8dy-qv8-xqz,Blue Line Sandwich,Restaurants and Other Eating Places,722513.0,220710134003.0
zzw-222@8dy-qvn-k4v,Salon M,Personal Care Services,812112.0,220710065002.0
zzw-222@8dy-qvq-z2k,St Bernard Community Baptist Church,Religious Organizations,813110.0,220710138003.0
zzw-222@8dy-r4j-9j9,Tire Squad,"Automotive Parts, Accessories, and Tire Stores",441320.0,220710017472.0
zzw-222@8dy-rf7-rff,Carrollton Cemetery,Death Care Services,812220.0,220710127002.0
zzw-222@8dy-rfb-2tv,,,,220710070002.0
zzw-222@8dy-rfb-gx5,China Kitchen,Restaurants and Other Eating Places,722511.0,220710072002.0
zzw-222@8dy-rfj-dvz,St Thomas American Episcopal Church Of Louisiana Inc,Religious Organizations,813110.0,220710109002.0
