,placekey,location_name,top_category,naics_code,poi_cbg
0,222-222@628-p77-c3q,Calhoun's Automotive Services,Automotive Repair and Maintenance,8111,421010353011.0
1,222-222@628-p7z-7dv,Sitzler Chiropractic,Offices of Other Health Practitioners,621310,421010307003.0
2,222-222@628-p9p-649,Nate's Hot Bagels,Restaurants and Other Eating Places,722515,421010355003.0
3,222-222@628-pj9-73q,Johnson Childcare Center Inc,Child Day Care Services,624410,421010278004.0
4,222-222@628-pmf-8vz,KQ Burger,Restaurants and Other Eating Places,722513,421010369003.0
5,222-222@63s-dvr-y9z,Covanta,Waste Management and Remediation Services,562,421010070003.0
6,222-223@628-pmf-hkf,Du Jour Commerce Square,Restaurants and Other Eating Places,722513,421010004011.0
7,222-226@628-pmf-ht9,Sonesta Hotels & Resorts,Traveler Accommodation,721110,421010004022.0
8,223-222@628-pgf-2zf,Axis Pizza,Restaurants and Other Eating Places,722513,421010369001.0
9,223-222@628-pj6-rff,Lao Buddhist Temple Inc,Religious Organizations,813110,421010273001.0
10,223-223@628-p92-n3q,Bethel Temple Bethel The Church Franklin Mills,Religious Organizations,813110,421010363011.0
11,223-223@628-pp2-r49,Venango Truck Rentals,Gasoline Stations,447110,421010382001.0
12,224-222@628-p7b-qpv,Alfreds Beverage,"Beer, Wine, and Liquor Stores",445310,421010346001.0
13,224-222@628-pfy-fvf,American Legion,Drinking Places (Alcoholic Beverages),722410,421010215001.0
14,224-222@628-pm9-t35,Annenberg Research Inst,"Colleges, Universities, and Professional Schools",611310,421010010023.0
15,224-223@628-pm7-rx5,Bosch Service,Automotive Repair and Maintenance,811118,421010036001.0
16,224-223@628-pmf-s89,Blume,Restaurants and Other Eating Places,722511,421010008043.0
17,225-222@628-pg8-j9z,Pearlstein Furniture,Furniture Stores,442110,421010138002.0
18,225-222@628-phy-kmk,Lemoncello Restaurant Philly,Restaurants and Other Eating Places,722511,421010286003.0
19,226-222@628-phq-5mk,Finley Recreation Center,"Museums, Historical Sites, and Similar Institutions",712190,421010262004.0
20,226-222@628-pp5-djv,Rico Mexican Tacos,Restaurants and Other Eating Places,722511,421010178002.0
21,227-222@628-pm4-n3q,RIM Cafe,Restaurants and Other Eating Places,722515,421010023002.0
22,228-222@628-p8h-n5z,PNC Financial Services,Depository Credit Intermediation,522110,421010325001.0
23,228-222@628-pfv-6hq,Carpenter Lane Garage,Automotive Repair and Maintenance,8111,421010236003.0
24,228-223@628-pm7-sdv,South Philly Wellness,Offices of Other Health Practitioners,621399,421010037022.0
25,22c-222@628-pg4-j7q,,,0,421010241001.0
26,22d-222@628-phk-yjv,St Vladimir Ukranian Orthodox Church,Religious Organizations,813110,421010269001.0
27,22d-222@628-pj4-xqz,Golden Eagle Jewelry,"Jewelry, Luggage, and Leather Goods Stores",448310,421010203001.0
28,22d-222@628-pm9-zs5,Goodwill Industries,Used Merchandise Stores,453310,421010016001.0
29,22d-222@63s-dvx-hnq,Philadelphia Church Of Jesus Christ,Religious Organizations,813110,421010111005.0
