placekey,latitude,longitude
222-222@628-p77-2hq,40.036244,-75.004551
222-222@628-p7v-wp9,40.059285,-75.08059399999999
222-222@628-pgk-rhq,40.006919,-75.208065
222-222@628-pmb-jjv,39.950554,-75.139542
222-222@628-pp4-x3q,39.98588,-75.131785
222-222@63s-dvr-52k,39.921456,-75.215546
222-222@63s-dwd-sdv,39.890038,-75.177626
222-222@63s-dwf-guv,39.897455,-75.235876
222-223@628-pmf-mp9,39.9536,-75.16720500000001
223-222@628-p8v-789,40.089485,-74.96731
223-222@628-p9t-rc5,40.095371,-74.976022
223-222@628-pm4-ndv,39.938386,-75.15623599999999
224-222@628-p7v-wkz,40.058198,-75.078777
224-222@628-pgb-n5z,39.968201,-75.160531
224-222@628-ph6-7kf,39.986174,-75.255053
224-222@628-pj3-cqz,40.016527,-75.148815
224-222@628-pmf-kcq,39.950745,-75.174157
227-222@628-pgb-t9z,39.961531,-75.15714399999999
227-222@628-pgh-vmk,39.982428000000006,-75.15594
228-222@628-pg3-jqf,40.063079,-75.193473
228-222@628-pg9-gx5,39.991138,-75.18276800000001
228-223@628-pfv-94v,40.04622,-75.195937
229-222@628-pgd-t5f,39.966133,-75.19519100000001
22b-225@628-pnw-yy9,39.969302,-75.150475
22c-222@628-p82-rff,40.042908,-75.074569
22d-222@628-pg9-xwk,39.966766,-75.160738
22d-222@63s-dvw-mtv,39.958713,-75.224885
22d-223@628-pg4-fvf,40.033211,-75.178026
22j-222@628-p83-d9z,40.071547,-75.049648
22k-222@628-p7w-6zf,40.057203,-75.060868
22k-222@63s-dvr-qj9,39.937385,-75.217901
22n-222@628-p8m-whq,40.030116,-75.064442
22n-222@628-pgg-9s5,40.004144,-75.170776
22p-222@628-pgb-89z,39.969169,-75.179702
22p-222@628-phk-vpv,40.050757,-75.122888
22p-222@628-phz-9pv,40.02901,-75.130776
22p-222@63s-dvr-d5f,39.921555,-75.23245899999999
22q-222@628-pmf-kfz,39.949037,-75.17365699999999
22s-222@628-pfv-8vz,40.046866,-75.194859
22w-222@628-phq-d9z,40.065934000000006,-75.150534
22w-222@628-pj4-zs5,40.003172,-75.151619
22x-222@628-pgb-h89,39.959947,-75.169698
22x-222@628-pm9-syv,39.945876,-75.146866
22z-222@628-pgh-649,40.009982,-75.155051
232-222@628-p8m-yjv,40.031791,-75.053795
232-222@628-phz-vj9,40.000294,-75.10608
232-222@628-pm9-y5f,39.941281,-75.147389
234-222@628-pgj-c5z,39.978845,-75.160179
238-222@628-p7v-hqz,40.055644,-75.061574
238-222@628-pmb-c3q,39.944598,-75.158558
23c-222@628-pgb-ygk,39.971321,-75.167419
23k-222@63s-dvw-mzf,39.958717,-75.226013
23p-223@628-pmb-gkz,39.945176,-75.16119599999999
23v-222@628-pmc-ndv,39.932614,-75.147362
249-222@628-pm9-68v,39.919958,-75.170996
zzw-222@628-p7v-7kf,40.059154,-75.06729
zzw-222@628-p7x-4n5,40.047179,-75.070324
zzw-222@628-p82-xnq,40.052394,-75.08755
zzw-222@628-p83-mhq,40.080463,-75.067675
zzw-222@628-pft-z9f,40.032105,-75.213436
zzw-222@628-pfx-ks5,40.026572,-75.226651
zzw-222@628-pg2-h5z,40.059919,-75.188781
zzw-222@628-phn-btv,40.070240000000005,-75.170597
zzw-222@628-pm4-nh5,39.937368,-75.155766
zzw-222@628-pm9-zmk,39.942377,-75.153564
zzw-222@628-pmb-rzf,39.944269,-75.141488
zzw-222@628-pp4-xbk,39.985187,-75.132496
zzw-222@628-pp5-jy9,39.986308,-75.112625
zzw-222@63s-dvy-dqf,39.941852,-75.22019
zzw-222@63s-dvy-xwk,39.952801,-75.210286
zzw-222@63s-dwd-qfz,39.888957,-75.18531800000001
zzw-223@628-p7w-gc5,40.073302000000005,-75.07592700000001
zzw-223@628-p7z-xnq,40.032656,-75.08363100000001
zzw-223@628-pg2-v9f,40.060844,-75.192031
zzw-223@628-pg3-2hq,40.053585,-75.189633
zzw-223@628-phy-mrk,40.029402000000005,-75.138541
zzw-223@628-pm3-xnq,39.932232,-75.166139
zzw-223@628-pmb-249,39.938354,-75.150097
zzw-223@628-pmd-zfz,39.939235,-75.179674
zzw-223@628-pnx-jd9,39.965728000000006,-75.13296700000001
zzw-227@63s-dvq-vpv,39.928431,-75.228594
zzw-228@628-p85-k75,40.072667,-75.034051
zzw-228@628-p8m-v2k,40.029763,-75.058989
zzw-228@628-pm9-y9z,39.941768,-75.149565
zzw-228@628-pmb-v75,39.948068,-75.14304399999999
zzw-23g@628-pmf-sqz,39.949971000000005,-75.168174
zzy-222@628-p9w-85f,40.112573,-75.02201
zzy-222@628-phn-5vf,40.072849,-75.171693
zzy-222@628-pmc-w49,39.925328,-75.144851
zzy-222@628-pp5-djv,39.991737,-75.109603
zzy-223@628-p9p-v2k,40.107293,-75.037623
zzy-223@63s-dvx-59f,39.972943,-75.217427
zzy-225@628-pmb-8sq,39.952058,-75.158952
222-222@628-p9p-z4v,40.100209,-75.027407
222-222@628-pj5-5s5,39.996688,-75.14720799999999
222-222@628-pjb-8n5,40.051165000000005,-75.14238399999999
222-222@628-pzn-zpv,40.132333,-75.00772099999999
222-223@628-p8f-cnq,40.014808,-75.081019
223-222@628-p8j-bff,40.037436,-75.038227
223-222@628-p9q-3dv,40.106598,-75.043817
223-222@628-pj7-3dv,40.036523,-75.104632
223-223@628-p9p-jgk,40.092361,-75.048804
224-222@628-p9p-ht9,40.094699,-75.051958
224-222@628-pgh-wtv,39.986063,-75.150669
224-222@628-phn-7wk,40.079509,-75.173151
224-223@628-pj2-mkz,40.00641,-75.09948299999999
225-223@628-p9j-zj9,40.099449,-75.010436
225-224@628-p9k-d9z,40.103665,-75.02895
226-222@628-p8f-9mk,40.013174,-75.08642900000001
226-222@628-pg9-54v,39.990705,-75.178997
226-222@628-pmf-hnq,39.952839,-75.17362
226-222@63s-dvr-7kf,39.926571,-75.23269300000001
226-222@63s-dvy-n5z,39.954037,-75.200292
227-222@628-phy-49z,40.023459,-75.124403
227-222@628-pj8-2ff,40.030225,-75.104904
228-222@628-p9p-t5f,40.105655,-75.029917
229-222@628-pm4-zvf,39.940697,-75.166565
229-222@628-pmf-bzf,39.940525,-75.186964
229-222@63s-dvz-2p9,39.95692,-75.214662
22b-222@63s-dvw-n89,39.96034,-75.225523
22c-222@628-pj4-8d9,40.02918,-75.163376
22f-222@628-pmb-92k,39.951634000000006,-75.155721
22g-222@628-pmf-hh5,39.952313,-75.171523
22g-223@628-pgb-28v,39.956824,-75.162353
22g-223@628-phy-vj9,40.025073,-75.115342
22h-222@628-p75-kcq,40.056893,-75.027632
22h-222@628-p9w-4sq,40.110353,-75.02409499999999
22j-222@628-pp5-249,39.988362,-75.128513
22k-222@628-p9q-tn5,40.084153,-75.035883
22k-223@628-pj8-hyv,40.020537,-75.08174
22p-222@628-pgh-4qf,40.005476,-75.16357099999999
22p-222@63s-dvx-g49,39.971162,-75.226065
22s-222@628-pgb-9fz,39.971941,-75.177453
22s-222@628-pmf-kfz,39.949277,-75.173973
22t-222@628-pgb-7t9,39.96754,-75.176023
22v-222@628-pp4-rrk,39.97765,-75.12616700000001
22v-224@63s-dvq-hdv,39.954078,-75.24470699999999
22z-222@63s-dvw-bhq,39.960994,-75.22437
235-222@628-p8h-hwk,40.026790000000005,-75.044072
235-222@628-pj4-5s5,40.021827,-75.148151
235-222@63s-dw2-6hq,39.972661,-75.249053
236-222@628-p8b-dsq,40.017156,-75.056292
238-222@628-pfy-brk,40.033993,-75.215651
238-222@63s-dw2-4sq,39.970092,-75.24400200000001
23c-222@628-p8v-bkz,40.093793,-74.971041
23d-222@628-pmb-7bk,39.948434000000006,-75.164062
23f-222@628-pmb-cqz,39.942426,-75.156906
23f-224@628-pm9-zxq,39.941805,-75.152574
23h-222@628-p8n-5pv,,
23h-225@628-pgg-kmk,39.998173,-75.165738
23j-222@628-pj6-hnq,40.042198,-75.12703499999999
23k-222@628-p8b-ckf,40.018759,-75.05109300000001
23k-222@628-p8n-brk,40.032605,-75.065471
23p-222@63s-dvx-gc5,39.970587,-75.231537
23r-222@628-pnx-4sq,39.963544,-75.144243
23r-223@628-p7x-9zz,40.039757,-75.065011
242-222@63s-dvw-jjv,39.955952,-75.225487
243-222@628-pj4-y35,40.007608000000005,-75.14884
243-222@63s-dvq-4d9,39.948085,-75.227642
243-223@628-pmb-ckf,39.941622,-75.155108
246-222@63s-dvq-3dv,39.949868,-75.230565
249-222@628-pgg-w8v,39.996544,-75.1732
24c-222@628-phz-x3q,39.999408,-75.110185
265-222@628-pm4-skf,39.927362,-75.15662900000001
zzw-222@628-p8m-w49,40.029383,-75.056736
zzw-222@628-p9r-249,40.073898,-75.031389
zzw-222@628-p9s-92k,40.114993,-74.99714499999999
zzw-222@628-p9w-9zz,40.120837,-75.036752
zzw-222@628-pgb-2kz,39.957342,-75.162042
zzw-222@628-pgh-vmk,39.982594,-75.155969
zzw-222@628-pgj-52k,39.980968,-75.15329
zzw-222@628-ph8-qmk,39.9779,-75.267359
zzw-222@628-phm-8jv,40.053111,-75.141891
zzw-222@628-phy-xkf,40.032355,-75.117088
zzw-222@628-pj2-v2k,40.015101,-75.114411
zzw-222@628-pj5-5s5,39.996258000000005,-75.147204
zzw-222@628-pjd-9mk,40.083188,-75.219449
zzw-222@628-pm4-d9z,39.921375,-75.17140400000001
zzw-222@628-pm4-y5f,39.934724,-75.16335
zzw-222@628-pm4-zfz,39.935282,-75.167622
zzw-222@628-pm7-49z,39.921974,-75.18737
zzw-222@628-pmf-wx5,39.953127,-75.179508
zzw-222@63s-dw9-7nq,39.877132,-75.240647
