placekey,location_name,top_category,naics_code,poi_cbg
222-222@8dj-jv6-swk,Socius Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",524210.0,120570046001.0
222-222@8dj-jxb-33q,Diner's Reef Dining Facility,Restaurants and Other Eating Places,722511.0,120570073001.0
222-223@8dj-mpq-b8v,7-Eleven,Grocery Stores,445120.0,120570122111.0
223-222@8dj-f6h-9pv,Missionary Christian Academy,Elementary and Secondary Schools,611110.0,120570002011.0
223-222@8dj-f6h-hbk,Public Storage,Lessors of Real Estate,531130.0,120570108051.0
223-222@8dj-f6k-jqf,Let's Get Married,Clothing Stores,4481.0,120570112052.0
223-222@8dj-f6q-h89,,,,120570007001.0
223-222@8dj-f97-q75,The Financial Well,Other Financial Investment Activities,523930.0,120570022002.0
223-222@8dj-fgk-47q,Shell Oil,Gasoline Stations,447110.0,120570102092.0
223-222@8dj-jw4-nqz,Sho Gud Barbeque Shack,Restaurants and Other Eating Places,722511.0,120570048004.0
223-223@8dj-jw4-qpv,Tacos El Flako,Restaurants and Other Eating Places,722511.0,120570049001.0
223-223@8dj-mpk-hwk,Marathon,Gasoline Stations,447110.0,120570037001.0
224-222@8dj-f8f-wp9,Adora Body Sculpting Clinic,Personal Care Services,812199.0,120570027001.0
224-222@8dj-jv4-5cq,Big Ray's Fish Camp,Restaurants and Other Eating Places,722511.0,120570069005.0
224-222@8dj-jwb-3kf,Patterson Ronald M OD,Offices of Other Health Practitioners,621320.0,120570048006.0
224-223@8dj-f7f-2p9,Bulls Cafe Shop,Restaurants and Other Eating Places,722515.0,120570108091.0
225-222@8dj-f97-sh5,PharmXpress Pharmacy,Health and Personal Care Stores,446110.0,120570030001.0
225-222@8dj-jtr-vj9,K & K Flooring,Building Finishing Contractors,2383.0,120570067005.0
225-222@8dj-mpk-qfz,A's Nails by Ana Maelyn,Personal Care Services,81211.0,120570120023.0
225-223@8dj-f79-87q,Pizza d'Carlo Gourmet Pizza,Restaurants and Other Eating Places,722511.0,120570009022.0
225-223@8dj-f8d-zpv,Alta Vista Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",524210.0,120570027002.0
225-223@8dj-jvb-8jv,Five Guys,Restaurants and Other Eating Places,722513.0,120570047004.0
226-222@8dj-jty-t35,AAMCO Transmissions,Automotive Repair and Maintenance,811113.0,120570068015.0
226-222@8dj-jw5-zvf,Papia Chiropractic,Offices of Other Health Practitioners,621310.0,120570051011.0
226-223@8dj-f89-fj9,Optum Primary Care,Offices of Physicians,621111.0,120570119021.0
226-223@8dj-jvh-jvz,Pilates Bodies,Other Amusement and Recreation Industries,713940.0,120570058004.0
227-222@8dj-f6d-m8v,Forest Hills Health Care,Offices of Physicians,621111.0,120570004021.0
227-225@8dj-jw6-zxq,Isaac The Tampa Realtor,Offices of Real Estate Agents and Brokers,531210.0,120570041002.0
228-222@8dj-f89-qfz,,,,120570119051.0
228-222@8dj-fhf-hdv,Uptown Cheapskate,Used Merchandise Stores,453310.0,120570110085.0
229-222@8dj-f8c-tqf,Tampa Autosports,Automotive Repair and Maintenance,8111.0,120570026001.0
22b-222@8dj-jtx-rkz,Extra Discount Pharmacy,Health and Personal Care Stores,446110.0,120570063004.0
22c-222@8dj-f6f-f2k,Dental Associates of Florida Tampa,Offices of Dentists,621210.0,120570004021.0
22d-222@8dj-f7b-jsq,Ramen Depot,Restaurants and Other Eating Places,722511.0,120570108161.0
22f-222@8dj-f8f-5fz,Habana Ambulatory Surgical Center,Specialty (except Psychiatric and Substance Abuse) Hospitals,622310.0,120570025003.0
22k-222@8dj-jv9-8y9,EPIC Services,Other Amusement and Recreation Industries,713940.0,120570047001.0
22x-222@8dj-fhp-zs5,Baskin Robbins,Restaurants and Other Eating Places,722515.0,120570110152.0
zzw-222@8dj-jv6-835,Nelson & McKay CPAs,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",5412.0,120570059001.0
zzw-222@8dj-jv9-snq,HomeGoods,Home Furnishings Stores,442299.0,120570046002.0
zzw-222@8dj-jw4-6kz,Marshall's Barber,Personal Care Services,81211.0,120570045004.0
zzw-222@8dj-jw5-5mk,Fabrica Pizza,Restaurants and Other Eating Places,722511.0,120570053011.0
zzw-222@8dj-jw5-tjv,GulfShore Bank,Depository Credit Intermediation,522110.0,120570051011.0
zzw-223@8dj-f6h-w49,Dunkin',Restaurants and Other Eating Places,722515.0,120570002021.0
zzw-224@8dj-f8f-59f,The New You,Personal Care Services,812199.0,120570025003.0
zzw-225@8dj-f96-xwk,Ybor Oktoberfest Pub Crawl,Gambling Industries,713210.0,120570039001.0
zzy-222@8dj-f6q-dvz,Bleu's Detailing,Automotive Repair and Maintenance,8111.0,120570004023.0
zzy-224@8dj-f98-c89,Champion Wellness Center of the Heights,Offices of Other Health Practitioners,621310.0,120570028001.0
222-222@8dj-f6d-q2k,Enterprise Rent-A-Car,Automotive Equipment Rental and Leasing,532111.0,120570004021.0
222-222@8dj-f7f-pjv,Burger King,Restaurants and Other Eating Places,722513.0,120570107014.0
222-222@8dj-f8c-zcq,Hillsborough Fresh Market,Specialty Food Stores,445210.0,120570118021.0
222-222@8dj-mny-qs5,Thomas Concrete Machinery,Building Material and Supplies Dealers,4441.0,120570122111.0
222-222@8dj-mr8-m49,Tire Centers,"Automotive Parts, Accessories, and Tire Stores",441320.0,120570037001.0
222-223@8dj-f6d-tjv,Tampa Breastfeeding and Lactation Center,Offices of Other Health Practitioners,621399.0,120570004011.0
