placekey,latitude,longitude
222-222@8dj-jv6-swk,27.950793,-82.528603
222-222@8dj-jxb-33q,27.850629,-82.486513
222-223@8dj-mpq-b8v,27.96112,-82.359928
223-222@8dj-f6h-9pv,28.047559000000003,-82.447154
223-222@8dj-f6h-hbk,28.055763,-82.45204
223-222@8dj-f6k-jqf,28.055327,-82.46899599999999
223-222@8dj-f6q-h89,,
223-222@8dj-f97-q75,27.987786,-82.455569
223-222@8dj-fgk-47q,28.144698,-82.281927
223-222@8dj-jw4-nqz,27.949005,-82.485289
223-223@8dj-jw4-qpv,27.951812,-82.484812
223-223@8dj-mpk-hwk,27.96653,-82.376855
224-222@8dj-f8f-wp9,27.980518,-82.487593
224-222@8dj-jv4-5cq,27.879340000000003,-82.495253
224-222@8dj-jwb-3kf,27.944986,-82.49104399999999
224-223@8dj-f7f-2p9,28.059009000000003,-82.394098
225-222@8dj-f97-sh5,27.980988,-82.45456800000001
225-222@8dj-jtr-vj9,27.897933,-82.501635
225-222@8dj-mpk-qfz,27.973023,-82.38148199999999
225-223@8dj-f79-87q,28.032119,-82.398686
225-223@8dj-f8d-zpv,27.975605,-82.484581
225-223@8dj-jvb-8jv,27.945173,-82.507614
226-222@8dj-jty-t35,27.882687,-82.50587900000001
226-222@8dj-jw5-zvf,27.952603000000003,-82.459308
226-223@8dj-f89-fj9,28.017831,-82.501173
226-223@8dj-jvh-jvz,27.931707,-82.50863199999999
227-222@8dj-f6d-m8v,28.043347,-82.460193
227-225@8dj-jw6-zxq,27.961492,-82.45732199999999
228-222@8dj-f89-qfz,,
228-222@8dj-fhf-hdv,28.099940000000004,-82.398063
229-222@8dj-f8c-tqf,27.989407,-82.517093
22b-222@8dj-jtx-rkz,27.912783,-82.506373
22c-222@8dj-f6f-f2k,28.033246,-82.462876
22d-222@8dj-f7b-jsq,28.055569,-82.427408
22f-222@8dj-f8f-5fz,27.987969,-82.48930899999999
22k-222@8dj-jv9-8y9,27.951171,-82.51006600000001
22x-222@8dj-fhp-zs5,28.0698,-82.362814
zzw-222@8dj-jv6-835,27.943649,-82.535185
zzw-222@8dj-jv9-snq,27.956126,-82.508602
zzw-222@8dj-jw4-6kz,27.961788,-82.486334
zzw-222@8dj-jw5-5mk,27.945648,-82.448134
zzw-222@8dj-jw5-tjv,27.943332,-82.455226
zzw-223@8dj-f6h-w49,28.054015000000003,-82.437475
zzw-224@8dj-f8f-59f,27.988003000000003,-82.490163
zzw-225@8dj-f96-xwk,27.960588,-82.441373
zzy-222@8dj-f6q-dvz,28.039426,-82.452927
zzy-224@8dj-f98-c89,27.981208,-82.470098
222-222@8dj-f6d-q2k,28.040722,-82.45993
222-222@8dj-f7f-pjv,28.053786,-82.395228
222-222@8dj-f8c-zcq,27.996612,-82.518597
222-222@8dj-mny-qs5,27.952849,-82.369509
222-222@8dj-mr8-m49,27.953824,-82.401147
222-223@8dj-f6d-tjv,28.054393,-82.46076500000001
222-223@8dj-jwb-gkz,27.938155,-82.501361
222-225@8dj-f6h-gzf,28.056486,-82.451622
223-222@8dj-f8c-x3q,27.988666,-82.51738399999999
223-222@8dj-f8s-3wk,28.016828000000004,-82.529912
223-222@8dj-f8y-yd9,27.982937,-82.435194
