placekey,location_name,top_category,naics_code,poi_cbg
222-222@8ts-3ms-249,HD Supply,"Machinery, Equipment, and Supplies Merchant Wholesalers",423830.0,40190045044.0
222-222@8ts-3n8-nqz,Jonathan's Cork,Restaurants and Other Eating Places,722511.0,40190040671.0
222-222@8ts-3pb-wrk,Circle K,Grocery Stores,445120.0,40190012001.0
222-222@8ts-79v-bc5,Cacuts Progable Storage,Lessors of Real Estate,531130.0,40190041151.0
222-223@8ts-3mc-v75,Circle K Gas,Gasoline Stations,447110.0,40190002001.0
223-222@8ts-3h7-jqf,Camino Seco Pet Clinic,"Other Professional, Scientific, and Technical Services",541940.0,40190040491.0
223-222@8ts-3nm-5vf,,,,40190028011.0
223-222@8ts-3pt-vmk,Circle K,Grocery Stores,445120.0,40190035023.0
223-223@8ts-793-7dv,Circle K Gas,Gasoline Stations,447110.0,40190025062.0
224-222@8ts-3m6-2ff,Taqueria Juanitos,Restaurants and Other Eating Places,722511.0,40190013033.0
224-222@8ts-3m8-gc5,Northminster Presbyterian Church,Religious Organizations,813110.0,40190027022.0
224-222@8ts-3ns-dsq,Tacos Apson,Restaurants and Other Eating Places,722511.0,40190024001.0
224-222@8ts-3ps-brk,Circle K,Grocery Stores,445120.0,40190035032.0
224-223@8ts-3hd-f9f,T U S D 1 Borman Preschool Program,Child Day Care Services,624410.0,40190036004.0
224-223@8ts-3mc-nyv,Red Roof Inn,Traveler Accommodation,721110.0,40190013022.0
225-222@8ts-3hb-bc5,Dollar General,"General Merchandise Stores, including Warehouse Clubs and Supercenters",452319.0,40190040361.0
225-222@8ts-3nn-yqf,TMJ Care,Offices of Dentists,621210.0,40190027023.0
226-222@8ts-3mc-qxq,Pima Monthly Meeting Holding Corporation,Religious Organizations,813110.0,40190004001.0
226-222@8ts-3mz-t7q,X1 Sports and Fitness,Other Amusement and Recreation Industries,713940.0,40190029013.0
226-222@8ts-3n7-d9z,Southwestern Paint,Building Material and Supplies Dealers,4441.0,40190032002.0
226-222@8ts-3n8-5mk,Heaton David D DC,Offices of Other Health Practitioners,621310.0,40190032003.0
227-222@8ts-3m7-4jv,Black Swan Physiotherapies,Offices of Other Health Practitioners,621340.0,40190028021.0
227-222@8ts-3nn-vzz,The Dapper Doughnut,Restaurants and Other Eating Places,722515.0,40190045111.0
227-223@8ts-3h4-6p9,Chuze Fitness,Other Amusement and Recreation Industries,713940.0,40190040103.0
227-223@8ts-3mk-zvf,Best in the West Golf Cars,Other Motor Vehicle Dealers,441228.0,40190045062.0
228-222@8ts-3m9-8jv,Chase,Depository Credit Intermediation,522110.0,40190016004.0
22b-222@8ts-32z-6hq,El Molinito Restaurant,Restaurants and Other Eating Places,722511.0,40190040323.0
22b-222@8ts-3m4-mtv,First Southern Christian School,Elementary and Secondary Schools,611110.0,40190004002.0
22b-222@8ts-79s-tqf,Liquor Dan,"Beer, Wine, and Liquor Stores",445310.0,40190037023.0
22d-222@8ts-3mz-tn5,Julia's Multicultural Beauty Center,Personal Care Services,81211.0,40190029014.0
22d-222@8ts-3n8-3t9,J D's For Hair,Personal Care Services,81211.0,40190032001.0
22d-222@8ts-3n8-vcq,Soul Space,Offices of Other Health Practitioners,621330.0,40190040671.0
22f-222@8ts-3mn-p35,Medler Paula S DVM,"Other Professional, Scientific, and Technical Services",541940.0,40190047102.0
22g-222@8ts-3my-8sq,Blake Kevin T Psychologist,Offices of Other Health Practitioners,621330.0,40190031021.0
22h-222@8ts-3mx-vs5,ATI Physical Therapy,Offices of Other Health Practitioners,621340.0,40190030041.0
22h-222@8ts-3mz-f75,Old Pueblo Anesthesia,Specialty (except Psychiatric and Substance Abuse) Hospitals,622310.0,40190029041.0
22h-222@8ts-3ns-swk,Roth Gerald DO,Offices of Physicians,621111.0,40190024002.0
22n-222@8ts-3md-7t9,JKaiser Workspaces,Furniture Stores,442110.0,40190001002.0
22n-222@8ts-3mr-c3q,Johnson Controls,"Machinery, Equipment, and Supplies Merchant Wholesalers",423850.0,40190045044.0
22s-222@8ts-3p5-g6k,O'Reilly Auto Parts,"Automotive Parts, Accessories, and Tire Stores",441310.0,40190037064.0
zzw-222@8ts-3kj-68v,Houghton Town Center,Lessors of Real Estate,531120.0,40190040741.0
zzw-222@8ts-3mr-3wk,Import Service Center,Automotive Repair and Maintenance,8111.0,40190045051.0
zzw-222@8ts-3mz-dd9,Stephen Harkins DDS,Offices of Dentists,621210.0,40190029061.0
zzw-222@8ts-3nn-c3q,Limited Additions,"Jewelry, Luggage, and Leather Goods Stores",448310.0,40190047103.0
zzw-222@8ts-3pd-8n5,Ironwood Hills Christian School,Elementary and Secondary Schools,611110.0,40190044141.0
zzw-223@8ts-3pn-v2k,7-Eleven,Grocery Stores,445120.0,40190035013.0
zzw-227@8ts-3m4-bzf,Graduate Hotels,Traveler Accommodation,721110.0,40190005006.0
zzy-222@8ts-3pv-s89,Art Of Shopping,Home Furnishings Stores,4422.0,40190041181.0
222-222@8ts-3h4-f4v,StoreWise Self Storage,Lessors of Real Estate,531130.0,40190040223.0
222-222@8ts-3h7-rhq,Saint Francis De Sales,Religious Organizations,813110.0,40190040222.0
222-222@8ts-3m4-pjv,Dolphins of the Desert Swimming Academy,Other Schools and Instruction,611620.0,40190005004.0
222-222@8ts-3m6-rtv,Ted's Country Store,Restaurants and Other Eating Places,722513.0,40190017003.0
222-222@8ts-3md-5s5,MiAn Sushi and Modern Asian Cuisine,Restaurants and Other Eating Places,722511.0,40190001002.0
222-222@8ts-3mf-2rk,The Home Depot,Building Material and Supplies Dealers,444130.0,40190019003.0
222-222@8ts-3mm-rkz,Ethan Allen,Furniture Stores,442110.0,40190046182.0
222-222@8ts-3nn-j7q,University Orthopedic Specialists,Specialty (except Psychiatric and Substance Abuse) Hospitals,622310.0,40190047261.0
222-222@8ts-3nt-2c5,Curacao,"General Merchandise Stores, including Warehouse Clubs and Supercenters",452319.0,40190024004.0
222-222@8ts-3nt-gzf,American Catholic Faith Association Inc,Religious Organizations,813110.0,40190038013.0
222-223@8ts-3h9-dgk,Cucusa's Caribbean Cuisine,Restaurants and Other Eating Places,722511.0,40190033021.0
222-223@8ts-3mz-djv,Affinity Eye Care,Offices of Physicians,621111.0,40190029061.0
223-222@8ts-332-c89,Speedway Pantano Square,Lessors of Real Estate,531120.0,40190040712.0
223-222@8ts-3h4-zcq,Joe's Pancake House,Restaurants and Other Eating Places,722511.0,40190040081.0
223-222@8ts-3mf-jgk,Sonrise Community Church,Religious Organizations,813110.0,40190006003.0
223-222@8ts-3pw-pgk,American Job Centers,Employment Services,561311.0,40190021001.0
223-223@8ts-3mc-kvf,Bumsted's,Restaurants and Other Eating Places,722511.0,40190004002.0
224-222@8ts-3m5-kfz,The Church of Jesus Christ of Latter day Saints,Religious Organizations,813110.0,40190014005.0
224-223@8ts-3pc-49z,Quest Diagnostics,Medical and Diagnostic Laboratories,621511.0,40190044151.0
225-222@8ts-3m5-pn5,Precision Motor,Automobile Dealers,441120.0,40190026031.0
225-222@8ts-3n6-mp9,Plato's Closet,Used Merchandise Stores,453310.0,40190033031.0
225-222@8ts-3pg-f75,Eric Weiser Design,Home Furnishings Stores,4422.0,40190044222.0
225-224@8ts-3n7-wtv,Speedway,Gasoline Stations,447110.0,40190031014.0
226-223@8ts-3m3-ygk,Sts Peter & Paul Conference,Religious Organizations,813110.0,40190016002.0
226-223@8ts-3mk-zvf,Action Tinting,Automotive Repair and Maintenance,8111.0,40190045062.0
227-222@8ts-3n3-mp9,Dunkin',Restaurants and Other Eating Places,722515.0,40190040301.0
228-222@8ts-3mj-brk,Sparr Patrick DC,Offices of Other Health Practitioners,621310.0,40190045132.0
228-222@8ts-3nm-66k,Wild Bird Store,Other Miscellaneous Store Retailers,453910.0,40190028021.0
229-222@8ts-3h4-75z,TeenFit Studio,Other Amusement and Recreation Industries,713940.0,40190040103.0
22b-222@8ts-3h4-7bk,Circle K Corporation,Grocery Stores,445110.0,40190040103.0
22d-222@8ts-3m9-8n5,Blackjack Pizza,Restaurants and Other Eating Places,722513.0,40190016004.0
22d-222@8ts-3n8-j35,Divine Bovine Burgers,Restaurants and Other Eating Places,722511.0,40190030023.0
22g-222@8ts-32z-73q,CrossFit,Other Amusement and Recreation Industries,713940.0,40190040323.0
22k-222@8ts-3my-fj9,HealthySkin Medical and Cosmetic Dermatology,Offices of Physicians,621111.0,40190029043.0
23q-222@8ts-3n7-dy9,Team Fit Tucson,Other Amusement and Recreation Industries,713940.0,40190031014.0
zzw-222@8ts-3h9-dd9,American Red Cross Donor Center,Other Ambulatory Health Care Services,621991.0,40190040683.0
zzw-222@8ts-3mx-vpv,Farmers Insurance Group,"Agencies, Brokerages, and Other Insurance Related Activities",524210.0,40190030041.0
zzw-222@8ts-3n9-6hq,Associates In Chiropractic,Offices of Other Health Practitioners,621310.0,40190030023.0
zzw-222@8ts-3pw-tgk,Arizona Laminate Fabricators,Home Furnishings Stores,4422.0,40190041181.0
zzw-223@8ts-3n9-2rk,Monroe Salon,Personal Care Services,81211.0,40190040671.0
zzw-223@8ts-3p2-9cq,GNC (General Nutrition Centers),Health and Personal Care Stores,446191.0,40190039011.0
zzw-224@8ts-3h5-pqf,Chico's,Clothing Stores,448120.0,40190033033.0
zzy-222@8ts-3nz-cyv,Mariscos El Bochas,Restaurants and Other Eating Places,722511.0,40190038023.0
zzy-223@8ts-3p4-28v,Mister Car Wash,Automotive Repair and Maintenance,811192.0,40190025052.0
