placekey,latitude,longitude
222-222@8ts-3ms-249,32.277525,-111.018756
222-222@8ts-3n8-nqz,32.242556,-110.856652
222-222@8ts-3pb-wrk,32.249874,-110.99495
222-222@8ts-79v-bc5,32.140944,-110.916103
222-223@8ts-3mc-v75,32.221414,-110.979278
223-222@8ts-3h7-jqf,32.220281,-110.803595
223-222@8ts-3nm-5vf,,
223-222@8ts-3pt-vmk,32.207652,-110.891664
223-223@8ts-793-7dv,32.13325,-110.998355
224-222@8ts-3m6-2ff,32.25052,-110.982653
224-222@8ts-3m8-gc5,32.264127,-110.93603600000002
224-222@8ts-3ns-dsq,32.183124,-110.97723
224-222@8ts-3ps-brk,32.192737,-110.874495
224-223@8ts-3hd-f9f,32.188846000000005,-110.863132
224-223@8ts-3mc-nyv,32.238801,-110.971585
225-222@8ts-3hb-bc5,32.177921999999995,-110.823194
225-222@8ts-3nn-yqf,32.278805,-110.943226
226-222@8ts-3mc-qxq,32.233729,-110.967482
226-222@8ts-3mz-t7q,32.249384,-110.909432
226-222@8ts-3n7-d9z,32.233627,-110.892981
226-222@8ts-3n8-5mk,32.228508000000005,-110.900811
227-222@8ts-3m7-4jv,32.257882,-110.92438
227-222@8ts-3nn-vzz,32.279916,-110.959761
227-223@8ts-3h4-6p9,32.207827,-110.83938
227-223@8ts-3mk-zvf,32.300737,-111.034755
228-222@8ts-3m9-8jv,32.251456,-110.944275
22b-222@8ts-32z-6hq,32.249274,-110.824357
22b-222@8ts-3m4-mtv,32.236205,-110.96499
22b-222@8ts-79s-tqf,32.140685999999995,-110.9676
22d-222@8ts-3mz-tn5,32.250865000000005,-110.902977
22d-222@8ts-3n8-3t9,32.232303,-110.892255
22d-222@8ts-3n8-vcq,32.240749,-110.841977
22f-222@8ts-3mn-p35,32.292812,-110.962178
22g-222@8ts-3my-8sq,32.243088,-110.881781
22h-222@8ts-3mx-vs5,32.251018,-110.86446200000002
22h-222@8ts-3mz-f75,32.258127,-110.892119
22h-222@8ts-3ns-swk,32.177559,-110.966878
22n-222@8ts-3md-7t9,32.221702,-110.970768
22n-222@8ts-3mr-c3q,32.253236,-111.005376
22s-222@8ts-3p5-g6k,32.162296999999995,-110.94525
zzw-222@8ts-3kj-68v,32.086675,-110.774517
zzw-222@8ts-3mr-3wk,32.272529,-110.990286
zzw-222@8ts-3mz-dd9,32.265931,-110.890983
zzw-222@8ts-3nn-c3q,32.28526,-110.943299
zzw-222@8ts-3pd-8n5,32.25022,-111.015846
zzw-223@8ts-3pn-v2k,32.200235,-110.90116299999998
zzw-227@8ts-3m4-bzf,32.232647,-110.957726
zzy-222@8ts-3pv-s89,32.174586,-110.905683
222-222@8ts-3h4-f4v,32.204835,-110.821091
222-222@8ts-3h7-rhq,32.204242,-110.807922
222-222@8ts-3m4-pjv,32.230451,-110.944262
222-222@8ts-3m6-rtv,32.257203999999994,-110.935012
222-222@8ts-3md-5s5,32.220908,-110.969028
222-222@8ts-3mf-2rk,32.22465,-110.915269
222-222@8ts-3mm-rkz,32.309032,-110.979375
222-222@8ts-3nn-j7q,32.291557,-110.949266
222-222@8ts-3nt-2c5,32.187129,-110.972146
222-222@8ts-3nt-gzf,32.172885,-110.976267
222-223@8ts-3h9-dgk,32.219552,-110.841339
222-223@8ts-3mz-djv,32.264627000000004,-110.892962
223-222@8ts-332-c89,32.234912,-110.822736
223-222@8ts-3h4-zcq,32.193578,-110.841527
223-222@8ts-3mf-jgk,32.227265,-110.939822
223-222@8ts-3pw-pgk,32.178696,-110.930425
223-223@8ts-3mc-kvf,32.234604,-110.972084
224-222@8ts-3m5-kfz,32.250184999999995,-110.962331
224-223@8ts-3pc-49z,32.227407,-111.003557
225-222@8ts-3m5-pn5,32.261798,-110.97168
225-222@8ts-3n6-mp9,32.221134,-110.872064
225-222@8ts-3pg-f75,32.197623,-111.016401
225-224@8ts-3n7-wtv,32.235634000000005,-110.909186
226-223@8ts-3m3-ygk,32.241345,-110.943332
226-223@8ts-3mk-zvf,32.300488,-111.034561
227-222@8ts-3n3-mp9,32.251641,-110.841575
228-222@8ts-3mj-brk,32.280409000000006,-111.002806
228-222@8ts-3nm-66k,32.264708,-110.925139
229-222@8ts-3h4-75z,32.20702,-110.834584
22b-222@8ts-3h4-7bk,32.207104,-110.832729
22d-222@8ts-3m9-8n5,32.252142,-110.944402
22d-222@8ts-3n8-j35,32.234804,-110.858362
22g-222@8ts-32z-73q,32.249348,-110.826856
22k-222@8ts-3my-fj9,32.247389,-110.883129
23q-222@8ts-3n7-dy9,32.235266,-110.896927
zzw-222@8ts-3h9-dd9,32.222712,-110.839404
zzw-222@8ts-3mx-vpv,32.25099,-110.863285
zzw-222@8ts-3n9-6hq,32.229191,-110.860589
zzw-222@8ts-3pw-tgk,32.176061,-110.92562
zzw-223@8ts-3n9-2rk,32.246384,-110.850868
zzw-223@8ts-3p2-9cq,32.156383,-110.987621
zzw-224@8ts-3h5-pqf,32.220408,-110.866757
zzy-222@8ts-3nz-cyv,32.158519,-110.97802
zzy-223@8ts-3p4-28v,32.160077,-111.00058
zzz-222@8ts-3n6-jsq,32.216657,-110.873372
zzz-222@8ts-3ps-5zz,32.20183,-110.893381
222-222@8ts-3mc-vs5,32.216159000000005,-110.981166
222-222@8ts-3md-249,32.225579,-110.983254
222-222@8ts-3n5-k2k,32.222056,-110.875678
222-222@8ts-3n7-dn5,32.236591,-110.895899
222-222@8ts-3n7-v75,32.235567,-110.911246
222-222@8ts-3n8-ffz,32.238076,-110.858255
222-222@8ts-3pb-v75,32.250986,-110.99947
222-223@8ts-3hb-835,32.179099,-110.840335
223-222@8ts-3mx-rff,32.252879,-110.887952
224-222@8ts-3kj-3wk,32.088068,-110.77456399999998
224-222@8ts-3n8-kxq,32.241808,-110.859898
224-222@8ts-3pn-j35,32.194796999999994,-110.91415
224-223@8ts-3jk-6ff,32.103875,-110.810277
225-222@8ts-78f-nnq,32.074502,-110.958942
226-222@8ts-3n4-z4v,32.268035,-110.892005
226-223@8ts-3md-5vf,32.218643,-110.96983600000002
227-222@8ts-3h4-6p9,32.207824,-110.839755
227-222@8ts-3m7-bp9,32.240891,-110.93426399999998
227-222@8ts-3mn-ct9,32.286196000000004,-110.980023
227-222@8ts-3nj-5vf,32.321969,-110.930907
227-223@8ts-3h4-94v,32.204612,-110.841519
22b-222@8ts-3mx-gp9,32.250378999999995,-110.881561
22b-222@8ts-3my-hqz,32.243763,-110.893447
22d-222@8ts-3mc-f2k,32.227953,-110.968084
22d-222@8ts-3mt-h3q,32.276995,-110.97932
22m-222@8ts-3gz-8jv,32.146515,-110.767819
22m-222@8ts-3pt-8qf,32.221908,-110.899038
22p-222@8ts-3gs-st9,32.154828,-110.768925
22x-222@8ts-3p5-2c5,32.158186,-110.958979
zzw-222@8ts-3mc-nbk,32.236411,-110.967671
zzw-222@8ts-3n7-47q,32.244834999999995,-110.910116
zzw-222@8tt-pz2-2p9,32.01404,-110.647656
zzw-223@8ts-33v-2kz,32.258759999999995,-110.757974
zzw-223@8ts-3ms-f9f,32.278252,-111.01288
zzw-224@8ts-78y-xkf,32.134096,-110.964344
zzw-224@8tt-pzq-8sq,32.044956,-110.71268899999998
zzw-226@8ts-32r-5xq,32.25865,-110.796672
